# file field old_offset new_offset votes
BackdropConfig.zhl bridge 0xD8 0xE8 1
BackdropConfig.zhl holeInWall 0x108 0xC0 2
BackdropConfig.zhl spikes 0x120 0xD8 1
BeamRenderer.zhl _points 0x120 0xD8 1
BeamRenderer.zhl _useOverlayData 0x11C 0xD4 1
CostumeSpriteDesc.zhl _defaultSkinColor 0x120 0xD8 1
CostumeSpriteDesc.zhl _itemAnimPlay 0x11C 0xD4 1
CostumeSpriteDesc.zhl _playerType 0x12C 0xE4 2
Entity.zhl _burnDamage 0x27C 0x28C 1
Entity.zhl _mass 0x2D4 0x2E4 1
EntityConfig_Entity.zhl bestiaryAnm2Path 0xF8 0x104 1
EntityConfig_Entity.zhl bestiaryScale 0xF4 0xBC 2
EntityConfig_Entity.zhl collisionInterval 0xD0 0xA4 1
EntityConfig_Entity.zhl tags 0xD8 0xE8 1
EntityConfig_Player.zhl _birthrightDescription 0xF4 0xBC 2
EntityConfig_Player.zhl _canShoot 0xD0 0xA4 1
EntityConfig_Player.zhl _modEntry 0x12C 0xE4 2
EntityConfig_Player.zhl _moddedMenuBackgroundANM2 0x134 0xEC 1
EntityConfig_Player.zhl _moddedTaintedPlayerID 0x124 0xDC 1
EntityConfig_Player.zhl _renderCustomBackground 0x130 0xE8 1
EntityFamiliar.zhl _dirtColor 0xEDC 0xEF0 5
EntityFamiliar.zhl _isLilDelirium 0xDB4 0xDC8 2
EntityFamiliar.zhl _item 0xED4 0xEE8 2
EntityFamiliar.zhl _weapon 0xDB0 0xDC4 4
EntityPlayer.zhl _babySkin 0x1AD8 0x1AEC 11
EntityPlayer.zhl _backupPlayer 0x1E50 0x1E6C 18
EntityPlayer.zhl _bladderCharge 0x18EC 0x1900 1
EntityPlayer.zhl _bombPlaceDelay 0x1604 0x1610 1
EntityPlayer.zhl _boneHearts 0x1D74 0x1D88 3
EntityPlayer.zhl _boneHeartsMask 0x1D78 0x1D8C 1
EntityPlayer.zhl _cacheFlags 0x1568 0x1574 7
EntityPlayer.zhl _cambionConceptionState 0x1920 0x1938 1
EntityPlayer.zhl _canFly 0x1564 0x1570 6
EntityPlayer.zhl _collectibleCounts 0x16B8 0x16C8 1
EntityPlayer.zhl _conceptionFamiliarFlags 0x1924 0x1520 1
EntityPlayer.zhl _controllerIndex 0x160C 0x1618 25
EntityPlayer.zhl _d8DamageModifier 0x1928 0x193C 1
EntityPlayer.zhl _d8FireDelayModifier 0x1934 0x1948 1
EntityPlayer.zhl _d8RangeModifier 0x1930 0x1944 1
EntityPlayer.zhl _d8SpeedModifier 0x192C 0x1940 1
EntityPlayer.zhl _damage 0x146C 0x1470 2
EntityPlayer.zhl _damageCooldown 0x13B8 0x13BC 6
EntityPlayer.zhl _deadEyeCharges 0x189C 0x18B0 2
EntityPlayer.zhl _deadEyeMisses 0x18A0 0x18B4 1
EntityPlayer.zhl _edenSpeed 0x1540 0x154C 1
EntityPlayer.zhl _epiphoraCharge 0x1890 0x18A4 1
EntityPlayer.zhl _footprintColor1 0x1814 0x1828 1
EntityPlayer.zhl _footprintColor2 0x1840 0x1854 1
EntityPlayer.zhl _forgottenSwapFormCooldown 0x1608 0x1614 1
EntityPlayer.zhl _friendBallEnemy 0x18FC 0x1910 1
EntityPlayer.zhl _goldenHearts 0x1938 0x194C 1
EntityPlayer.zhl _hasUnlistedRestoreState 0x20BC 0x20E8 2
EntityPlayer.zhl _headDirection 0x161C 0x1628 6
EntityPlayer.zhl _heldEntity 0x140C 0x1410 28
EntityPlayer.zhl _history 0x1DD8 0x1DEC 23
EntityPlayer.zhl _imExcitedSpeedupCountdown 0x18D4 0x18EC 1
EntityPlayer.zhl _immaculateConceptionState 0x191C 0x1934 1
EntityPlayer.zhl _isCoopGhost 0x207D 0x20A9 49
EntityPlayer.zhl _isUrethraBlocked 0x18F4 0x1908 1
EntityPlayer.zhl _itemStateCooldown 0x15F8 0x1604 1
EntityPlayer.zhl _luck 0x1560 0x156C 5
EntityPlayer.zhl _markedTarget 0x1408 0x140C 16
EntityPlayer.zhl _mawOfTheVoidChargeTimer 0x18A8 0x18BC 1
EntityPlayer.zhl _maxBladderCharge 0x18F0 0x1904 1
EntityPlayer.zhl _maxPeeBurstCooldown 0x18E8 0x18FC 1
EntityPlayer.zhl _maxfiredelay 0x145C 0x1460 1
EntityPlayer.zhl _megaBlastDuration 0x18E0 0x18F4 1
EntityPlayer.zhl _megaBlastLaser 0x1454 0x1458 3
EntityPlayer.zhl _moveDirection 0x1618 0x1624 1
EntityPlayer.zhl _movespeed 0x155C 0x1568 1
EntityPlayer.zhl _nextUrethraBlockFrame 0x18F8 0x190C 1
EntityPlayer.zhl _peeBurstCooldown 0x18E4 0x18F8 6
EntityPlayer.zhl _planCKillCountdown 0x1878 0x188C 1
EntityPlayer.zhl _playerHUD 0x20A8 0x20D4 3
EntityPlayer.zhl _playerIndex 0x1610 0x161C 20
EntityPlayer.zhl _playerType 0x13BC 0x13C0 23
EntityPlayer.zhl _ponyCharge 0x1874 0x1888 1
EntityPlayer.zhl _postLevelInitFinished 0x1810 0x1824 3
EntityPlayer.zhl _potatoPeelerCounter 0x1534 0x1540 1
EntityPlayer.zhl _purityState 0x1918 0x1930 1
EntityPlayer.zhl _rUaWizardTimer 0x1458 0x145C 3
EntityPlayer.zhl _replacedPlayer 0x267C 0x26C8 1
EntityPlayer.zhl _shotspeed 0x1460 0x1464 22
EntityPlayer.zhl _smeltedTrinkets 0x1738 0x1748 1
EntityPlayer.zhl _speedModifier 0x1518 0x1524 1
EntityPlayer.zhl _suplexState 0x1F08 0x1F2C 3
EntityPlayer.zhl _tearDisplacement 0x156C 0x1578 9
EntityPlayer.zhl _tearPoisonDamage 0x1570 0x157C 6
EntityPlayer.zhl _tearfallaccel 0x1478 0x147C 2
EntityPlayer.zhl _tearfallspeed 0x1474 0x1478 2
EntityPlayer.zhl _tearheight 0x1470 0x1474 2
EntityPlayer.zhl _tearrange 0x147C 0x1480 3
EntityPlayer.zhl _temporaryeffects 0x1500 0x1508 13
EntityPlayer.zhl _twinPlayer 0x1E4C 0x1E68 23
EntityPlayer.zhl _urnSouls 0x1DBC 0x1DD0 2
EntityPlayer.zhl _vampireCharmKills 0x15FC 0x18F0 1
Font.zhl _alphaChannel 0x1F 0x17 5
Game.zhl _ambush 0x25B40 0x265C8 2
Game.zhl _challenge 0x25AFC 0x26584 17
Game.zhl _dailyChallenge 0x25BA8 0x26630 9
Game.zhl _debugFlags 0x25ABC 0x26544 41
Game.zhl _difficulty 0x25F40 0x269C8 3
Game.zhl _entityFactory 0x25AF8 0x26580 3
Game.zhl _frameCount 0x25A70 0x264F8 53
Game.zhl _gameOver 0x1D4C8 0x1D520 1
Game.zhl _gameStateFlags 0x25AC0 0x26548 2
Game.zhl _hud 0x1D9AC 0x1DA04 13
Game.zhl _isDebug 0x25B01 0x26589 8
Game.zhl _lightningIntensity 0x6699C 0x67734 1
Game.zhl _proceduralItemManager 0x669BC 0x67758 2
Game.zhl _screenShakeOffset 0x25A84 0x2650C 14
GameOver.zhl modEntityConfig 0x12C 0xE4 2
GenericPrompt.zhl _submittedSelection 0x12C 0xE4 2
GridEntityDoor.zhl _previousVariant 0x288 0x298 1
HUD_Message.zhl _color1 0x134 0xEC 1
Leaderboard.zhl _leaderboardMenuSprite 0x124 0xDC 1
Manager.zhl _entityConfig 0x2A36C 0x2A670 14
Manager.zhl _font2_TeamMeatEx12 0x4AA54 0x4AE74 2
Manager.zhl _framecount 0x4A8B8 0x4ABBC 3
Manager.zhl _itemConfig 0x2A234 0x2A404 11
Manager.zhl _musicmanager 0x29DF8 0x29FBC 6
Manager.zhl _netplayManager 0x4AFB8 0x4B3D8 23
Manager.zhl _optionsConfig 0x2A178 0x2A33C 6
Manager.zhl _sfxManager 0x2A160 0x2A324 52
MenuBestiary.zhl DeathScreenSprite 0x11C 0xD4 1
MenuCharacter.zhl _PageSwapWidgetSprite 0xDB8 0xDCC 1
MenuCharacter.zhl _TaintedMenuBGDecoSprite 0xECC 0xEE0 6
MenuCharacter.zhl _characterMenuShown 0xDB4 0xDC8 2
MenuCollection.zhl NumItems 0x25C 0x26C 1
MenuDailyChallenge.zhl _timeHoursLeft 0x12C 0xE4 2
MenuDailyChallenge.zhl _timeMinutesLeft 0x130 0xE8 1
MenuDailyChallenge.zhl _timeSecondsLeft 0x134 0xEC 1
MenuGame.zhl ContinueWidgetSprite 0x124 0xDC 1
MenuManager.zhl _menuChallenge 0x2684 0x26D0 2
MenuMods.zhl State 0x124 0xDC 1
MenuOptions.zhl HoldRightCounter 0x250 0x260 1
MenuOptions.zhl HoldUpDownCounter 0x254 0x264 1
MenuSave.zhl Save1DrawingSprite 0x12C 0xE4 2
MenuSave.zhl Save2DrawingSprite 0x240 0x250 2
MenuStats.zhl _achievementMiniSprite8 0x13E4 0x13E8 1
MenuStats.zhl _achievementMiniSprite9 0x14F8 0x1500 1
MenuStats.zhl _achievementScrollInPosition 0x134 0xEC 1
MenuStats.zhl _cursorLeftSprite 0x160C 0x1618 25
MenuStats.zhl _isAchievementScreenVisible 0x130 0xE8 1
MinimapConfig.zhl _borderPadding 0x124 0xDC 1
MinimapConfig.zhl _borderScale 0x130 0xE8 1
MinimapConfig.zhl _i1 0x134 0xEC 1
MinimapConfig.zhl _posOffsetX 0x12C 0xE4 2
MinimapConfig.zhl _vec1 0x11C 0xD4 1
NightmareScene.zhl _bubbleANM2 0x134 0xEC 1
OptionsConfig.zhl _enableRumble 0x52 0x56 2
OptionsConfig.zhl _enableSteamCloud 0x5E 0x62 1
PauseScreen.zhl statssprite 0x254 0x264 1
Room.zhl _fxLayers 0x1618 0x1624 1
RoomDescriptor.zhl TKeeperCoinSpawns 0x52 0x56 2
